Prefix,Date,Time,Rotation,Longitude
a,4/14/2008,0:30,2068,28.00
b,7/19/2008,0:30,2072,201.00
c,10/19/2008,0:30,2074,102.00
d,11/12/2008,6:30,2076,106.00
e,3/20/2009,6:30,2081,217.00
f,12/20/2009,6:30,2091,187.00
g,4/10/2009,9:30,,
h,12/10/2007,9:30,2064,246.00
i,1/10/2008,9:30,2065,197.00
j,3/5/2008,13:00,2065,261.00
k,7/5/2008,13:00,2071,19.00
l,8/5/2008,13:00,2073,329.00
m,10/5/2008,13:00,2075,244.00
n,8/4/2008,15:00,2073,342.00
o,3/28/2007,18:00,2054,33.00
p,5/28/2007,18:00,2057,308.00
q,12/28/2007,18:00,2064,4.00
r,2/16/2008,9:30,2066,68.00
s,7/16/2008,9:30,2072,235.00
